layer,head,retrieval_score,type
3,0,0.25947169648677954,local
3,1,0.4507387897460684,local
3,2,0.3799496275469281,local
3,3,0.2631088526754904,local
3,4,0.66956456182811,retrieval
3,5,0.5546277533490737,local
3,6,0.5489237248375234,local
3,7,0.6383613471447804,retrieval
3,8,0.40021320868312815,local
3,9,0.5395414530418428,local
3,10,0.5225983344688062,local
3,11,0.50904127811262,local
3,12,0.5437391361009889,local
3,13,0.6108931198469552,retrieval
3,14,0.6558162302819313,retrieval
3,15,0.6138898959527748,retrieval
7,0,0.30473231043403926,local
7,1,0.23471832800885967,local
7,2,0.3443807609726461,local
7,3,0.5256766514561292,local
7,4,0.31595132063039194,local
7,5,0.6626937769320154,retrieval
7,6,0.6503185213690098,retrieval
7,7,0.36600497128806797,local
7,8,0.3873784469209535,local
7,9,0.5491719799031808,local
7,10,0.518096159705329,local
7,11,0.49406683998132933,local
7,12,0.5026950291354706,local
7,13,0.3425497270063428,local
7,14,0.4617882767799385,local
7,15,0.38841746450891224,local
11,0,0.46750822683854604,local
11,1,0.4382591070706304,local
11,2,0.4188921672253304,local
11,3,0.35523592103290014,local
11,4,0.5112275193715851,local
11,5,0.45568636281317526,local
11,6,0.40749105199777313,local
11,7,0.5090640307854422,local
11,8,0.6725114182217677,retrieval
11,9,0.6355539447488849,retrieval
11,10,0.3889805348951685,local
11,11,0.47217003894387455,local
11,12,0.34018581822910815,local
11,13,0.4797884714861441,local
11,14,0.5009895920540532,local
11,15,0.4610698115043842,local
15,0,0.5945409070085026,retrieval
15,1,0.47978316617269645,local
15,2,0.4689529129424452,local
15,3,0.46281360609097166,local
15,4,0.5395407828398964,local
15,5,0.4339542617930331,local
15,6,0.48672165634579373,local
15,7,0.3406444317378358,local
15,8,0.5317611942267545,local
15,9,0.5684058518580745,local
15,10,0.5253833890691243,local
15,11,0.4524870156454739,local
15,12,0.5442275379154284,local
15,13,0.6602636492254234,retrieval
15,14,0.5854615189477091,local
15,15,0.5389387469110452,local
19,0,0.4823071226923684,local
19,1,0.42735624054864213,local
19,2,0.40498712813180415,local
19,3,0.38541167167189105,local
19,4,0.5706374316247461,local
19,5,0.5878980544549021,local
19,6,0.6371236433446736,retrieval
19,7,0.5248414907016122,local
19,8,0.47366302711567754,local
19,9,0.411784293515539,local
19,10,0.5164403131759085,local
19,11,0.3713027628276824,local
19,12,0.6124053801783748,retrieval
19,13,0.2425673745293641,local
19,14,0.34529227870225154,local
19,15,0.4930626355721494,local
23,0,0.4429825024507534,local
23,1,0.5247806392464766,local
23,2,0.3699085614774425,local
23,3,0.46783478623628055,local
23,4,0.5820389902441034,local
23,5,0.5920362342363302,local
23,6,0.57467700382381,local
23,7,0.5937009137380458,local
23,8,0.447682307096831,local
23,9,0.545902037003958,local
23,10,0.4275373398094554,local
23,11,0.48352774741777915,local
23,12,0.4971807588096519,local
23,13,0.5585186478895627,local
23,14,0.5192845354984803,local
23,15,0.5422872389799698,local
27,0,0.6647986436156506,retrieval
27,1,0.6176926050853868,retrieval
27,2,0.5158300047295843,local
27,3,0.5624814175331707,local
27,4,0.68661505754515,retrieval
27,5,0.6805527020907012,retrieval
27,6,0.6902008526295458,retrieval
27,7,0.6845475513272539,retrieval
27,8,0.6490293228142402,retrieval
27,9,0.6686556667480796,retrieval
27,10,0.6657944019810994,retrieval
27,11,0.6667957444077728,retrieval
27,12,0.6937296314821804,retrieval
27,13,0.5548974827666843,local
27,14,0.6771319849253168,retrieval
27,15,0.7171468537980665,retrieval
31,0,0.6067045178807723,retrieval
31,1,0.6026925439701818,retrieval
31,2,0.6128722444748107,retrieval
31,3,0.5933984722543726,local
31,4,0.637727394299219,retrieval
31,5,0.6283779148012315,retrieval
31,6,0.7130856638178287,retrieval
31,7,0.5776012430959021,local
31,8,0.3282174627976043,local
31,9,0.01579672685688488,local
31,10,0.15802381811806548,local
31,11,0.47009348945430335,local
31,12,0.049685258912372306,local
31,13,0.28480769731797106,local
31,14,0.24996727607581323,local
31,15,0.3911945804645859,local
